epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,479.958,1.34126,2.33413,1.45862,0.68357,0.82471,0.86469,0.49751,1.27596,1.38381,1.38798,0.000471372,0.000471372,0.000471372
2,975.683,1.25576,1.26096,1.41433,0.74993,0.91854,0.85758,0.57916,1.09984,1.05826,1.19949,0.000853882,0.000853882,0.000853882
3,1490.52,1.22352,1.13905,1.34277,0.78948,0.85205,0.88371,0.57618,1.11479,1.05971,1.22294,0.00114208,0.00114208,0.00114208
4,1959.79,1.2046,1.05654,1.30607,0.80918,0.91737,0.90062,0.60294,1.1123,0.95845,1.18229,0.00100459,0.00100459,0.00100459
5,2406.08,1.16805,1.0138,1.27183,0.83155,0.87929,0.90516,0.60405,1.07984,0.98001,1.17749,0.000863116,0.000863116,0.000863116
6,2847.78,1.16242,0.98706,1.26385,0.82606,0.90639,0.91038,0.62383,1.04438,0.90996,1.17608,0.000721645,0.000721645,0.000721645
7,3353.88,1.14365,0.93599,1.25325,0.87998,0.89359,0.93198,0.63533,1.05113,0.81805,1.16152,0.000580174,0.000580174,0.000580174
8,3850.16,1.12038,0.89738,1.22879,0.8398,0.92906,0.92283,0.62523,1.04978,0.81653,1.1696,0.000438703,0.000438703,0.000438703
9,4307.46,1.10545,0.87618,1.22206,0.82795,0.921,0.92384,0.64573,1.02907,0.79383,1.15159,0.000297232,0.000297232,0.000297232
10,4757.45,1.09349,0.86183,1.21712,0.85713,0.90531,0.92446,0.65027,1.02468,0.79141,1.14959,0.000155761,0.000155761,0.000155761
